,Unnamed: 0,id,screen_name,description,created_at,location,is_verified,latest_following_count,latest_followers_count,latest_status_count,array_agg,num_tweets
480,480,20015903,PeterRoskam,"Husband, father, and U.S. Representative for the 6th District of Illinois. I serve as @WaysandMeansGOP Tax Policy Chairman in the 115th Congress.",2009-02-04 00:11:56,,t,4574,21936,6711,"{congressperson,republican,republican}",3508.0
481,481,518644221,RepBradWenstrup,"US Representative for the people of Ohio's 2nd District, Physician, Army Reservist, Dad, Lifelong Ohioan",2012-03-08 16:25:14,,t,958,10962,4243,"{congressperson,republican,republican}",3405.0
482,482,2930635215,RepNewhouse,Proud to represent Washington's 4th District in the U.S. Congress,2014-12-18 20:19:23,,t,1508,5423,850,"{congressperson,republican,republican}",856.0
483,483,51228911,RepMikeTurner,"I proudly represent the Tenth District of Ohio. Montgomery County, Greene County and Fayette County. #OH10",2009-06-26 21:15:07,"Washington, DC and Dayton, OH",t,833,12998,2036,"{congressperson,republican,republican}",2034.0
484,484,785624983145852928,repbobbyscott,"Interest to Men, #Health, #lifestyle & #Technology
Facebook Pge
https://t.co/7jRgSHkTa6",2016-10-10 23:36:07,United States,f,1055,233,55,"{congressperson,democrat,democrat}",55.0
485,485,242761889,CongressmanDan,Doctor representing #NorthernMichigan. Fighting for Veterans. Growing our economy. Protecting the Great Lakes.,2011-01-25 14:54:16,"Iron River, MI",t,7369,9619,571,"{congressperson,republican}",573.0
486,486,1155212191,KeithRothfus,Thank you for visiting my official Twitter account. I proudly represent and serve Pennsylvania's Twelfth Congressional District.,2013-02-06 21:51:36,,t,494,5508,3770,"{congressperson,republican,republican}",3332.0
487,487,122174004,repdinatitus,Congresswoman proudly representing the First District of Nevada in the U.S. House of Representatives. https://t.co/g6tZzJD45q,2010-03-11 21:05:31,"Las Vegas, NV",t,1789,10997,7035,"{congressperson,democrat,democrat}",3879.0
488,488,1099199839,MartinHeinrich,United States Senator from New Mexico,2013-01-17 20:24:19,,t,407,43895,3386,"{senator,democrat,democrat}",3439.0
489,489,476256944,SenFeinstein,United States Senator from California. On Facebook at: http://t.co/siExqwIu,2012-01-27 23:06:59,California,t,193,191385,4483,"{democrat,senator,democrat}",3927.0
490,490,171598736,SenBobCasey,Official twitter profile for U.S. Senator Bob Casey.,2010-07-27 18:38:20,"Scranton, PA",t,516,136001,5010,"{democrat,senator,democrat}",4550.0
